business_age_yrs,sector,monthly_revenue_ksh,monthly_expenses_ksh,num_employees,collateral_value_ksh,requested_loan_ksh,credit_history_score,loan_approved
1,Agriculture,497095,245250.60348463283,18,273255,1398224,772,0
2,Manufacturing,1640118,936054.6839690597,42,554594,197718,443,1
10,Manufacturing,1028239,593911.2636591097,49,657409,736976,603,1
14,Agriculture,1064107,616274.0860187439,32,192506,1040198,308,0
9,Tech Startup,400002,260072.86635238424,16,590978,1627363,451,0
6,Transport (Boda Boda),408215,303665.0354328526,11,378480,82711,719,0
6,Tech Startup,204423,123310.92383139617,35,912495,1756493,772,1
3,Services,153272,46369.49953963881,46,643409,1176081,462,0
13,Hospitality,656584,254730.05305195105,4,809760,1086685,576,1
4,Agriculture,1127447,704447.4315660425,7,610704,1955279,332,0
12,Retail,127450,61667.6895499624,22,400109,166381,337,0
6,Services,154508,83955.17828472973,8,150810,1391466,525,0
5,Transport (Boda Boda),860477,535691.4028249872,47,369599,1759536,752,1
12,Retail,1240412,681726.3293648026,4,627234,1994624,811,1
1,Manufacturing,1780427,1371337.0279818529,29,82989,1396932,817,1
3,Hospitality,707995,217870.10360967775,24,789852,1981760,601,1
5,Manufacturing,135294,105774.20059015667,33,648307,115726,552,0
5,Hospitality,288246,125167.20179958007,3,254079,600929,622,0
8,Manufacturing,465101,162128.7422146391,32,4014,1371813,454,0
10,Services,1823649,841204.3893264798,40,630152,1491578,545,1
7,Tech Startup,599036,268520.9252051013,26,235362,1542785,707,0
13,Services,239963,133340.5280289336,36,856748,1880931,620,1
8,Services,1337375,666536.885460087,14,484299,1710786,770,1
12,Services,1100673,381923.5918352344,23,649150,1328805,350,1
9,Tech Startup,1121497,640736.2649453215,22,55609,277897,641,1
1,Retail,1045715,334019.5321569321,15,357429,511243,563,0
5,Agriculture,271451,110727.71686752279,5,611523,1021525,649,0
3,Manufacturing,977238,360773.3496640937,16,94476,1332417,405,0
14,Agriculture,242866,169421.645189348,19,28251,1726345,645,0
5,Transport (Boda Boda),1100793,860076.2181692786,23,394366,794840,357,0
10,Hospitality,823328,429098.8883000254,32,663165,579525,787,1
13,Tech Startup,658836,407908.6224826888,39,553663,715022,546,1
3,Services,760427,443343.08893218945,37,203861,1052168,584,0
14,Retail,29435,9507.543883955146,49,575581,128781,752,1
12,Manufacturing,326063,113768.94996217375,48,121172,1455478,588,0
14,Retail,1127677,704670.5185607718,10,734965,1458836,399,1
2,Transport (Boda Boda),670419,326699.4072426321,19,887225,321967,624,1
13,Transport (Boda Boda),1466403,891463.8975074315,16,366326,1784913,796,1
12,Manufacturing,1421727,878914.1886930626,20,149143,1813211,679,1
1,Agriculture,1072576,756811.8655333975,43,251492,1988699,716,0
8,Services,351593,141812.28707107226,29,108940,1053531,601,0
2,Agriculture,1690396,586941.8015449891,35,551638,1715872,389,1
8,Manufacturing,632956,457271.24866499106,26,207869,115953,414,0
9,Agriculture,1875366,673410.9500587574,45,535626,181484,675,1
4,Retail,1129268,885109.2771270834,36,830857,613044,756,1
8,Retail,853727,501959.27993067936,35,85999,1116531,395,0
8,Tech Startup,1812662,1387372.8176716045,37,306955,1265856,824,1
7,Tech Startup,657144,275420.9290676803,30,898320,684736,361,0
4,Tech Startup,1246607,616832.4168037312,13,66234,1662818,476,0
4,Retail,429995,335082.52547614544,19,954443,1823832,754,1
12,Agriculture,1544429,985940.2333600612,19,454137,55486,443,1
5,Hospitality,1718884,767662.8520497279,25,666490,1448228,783,1
5,Manufacturing,342710,236691.9847284929,39,608364,1188356,341,0
10,Agriculture,1866182,1489149.0785573218,5,941218,88102,534,1
11,Tech Startup,1599665,1254658.8059786921,9,154697,263945,791,1
1,Agriculture,228124,164075.99287644768,46,177804,1804279,469,0
9,Hospitality,375249,279916.41156078834,2,214532,662380,464,0
6,Tech Startup,1357682,801918.5507356462,45,157504,1336643,810,1
7,Services,712440,424574.60654291784,36,166981,794699,714,0
3,Retail,1271772,621888.6167324799,39,643162,861721,830,1
7,Manufacturing,1608349,878661.2469305494,13,742129,1763371,357,1
4,Agriculture,731131,499799.2700740616,41,305062,1937232,686,0
13,Transport (Boda Boda),886651,692550.9261387505,49,548248,1918599,416,1
6,Hospitality,1529433,468124.6273441349,32,415916,871052,448,1
6,Hospitality,1424116,1134283.3267951168,37,259747,665650,831,1
9,Retail,658353,252220.1141218762,49,824845,309214,714,1
1,Agriculture,521108,337919.0110055404,3,150159,1271078,311,0
10,Manufacturing,948479,311985.0459406663,38,388043,1384679,672,1
8,Services,1077913,424763.02182065934,26,364167,1445385,615,1
2,Tech Startup,1364027,462224.1718277187,41,791267,1643023,801,1
1,Services,1933760,977715.5542768994,13,690907,1982015,846,1
13,Agriculture,458661,355416.38901519356,5,575278,1043176,749,1
10,Services,498007,367693.8783107231,45,168964,575303,673,0
1,Hospitality,1693361,1343915.7468064418,49,128778,1685156,581,0
9,Retail,826741,590774.3284955623,49,832972,201456,404,1
3,Transport (Boda Boda),290846,127013.47662137909,48,703286,1373483,736,0
7,Agriculture,1878532,1245580.2207279883,10,163273,1807266,444,1
5,Transport (Boda Boda),1518189,611105.4811199963,1,831538,1414652,745,1
1,Agriculture,1368464,928502.2302044685,34,36187,555950,371,0
7,Services,820921,450753.4315932665,3,618362,737409,567,1
1,Manufacturing,660053,517472.8938999257,30,810717,1398346,700,1
7,Transport (Boda Boda),1112814,770439.1147364614,14,954945,1584026,734,1
7,Transport (Boda Boda),625605,380763.1323033132,34,6949,813185,397,0
2,Tech Startup,682301,393965.92226198455,34,476467,406600,465,0
1,Services,1952247,1474406.5109244774,30,70390,757689,380,0
5,Retail,385340,143938.64757059774,17,742729,1609312,807,1
4,Manufacturing,670199,216427.78744155928,6,800820,1104145,504,0
14,Agriculture,449802,265304.44991262845,11,771954,711614,482,1
11,Tech Startup,686997,445746.8650635356,4,912259,1993223,580,1
3,Services,1283455,689190.7185017923,29,901791,1960705,360,1
10,Transport (Boda Boda),948818,304033.83937436395,5,480721,1209771,833,1
5,Tech Startup,1632613,588259.7457125826,41,147979,1248425,345,0
2,Transport (Boda Boda),1439184,794010.2407689882,45,212890,1122200,548,0
9,Services,1242869,423668.5831396312,30,936766,1479551,636,1
10,Retail,608579,427892.2843275908,49,472930,1935436,602,1
8,Hospitality,655605,274081.0898472179,28,73686,117661,515,0
2,Hospitality,1740684,576463.5061307589,7,660482,854462,662,1
12,Hospitality,1043980,765871.5479711948,38,629474,871106,314,1
9,Tech Startup,451734,220736.2420679518,10,1062,1346312,572,0
7,Agriculture,1468021,680792.7952207872,44,266776,1727456,824,1
4,Hospitality,1467960,938835.5202056724,3,606440,1747900,445,1
4,Hospitality,46069,27338.29173305194,8,470951,131264,724,0
5,Tech Startup,1262629,946749.146704905,34,912826,649991,614,1
13,Manufacturing,1181157,712104.6841535614,33,902580,994789,576,1
6,Hospitality,545893,230901.20111050215,4,994653,237210,745,1
14,Manufacturing,882557,341273.14007127646,9,668406,1621714,542,1
8,Manufacturing,810756,641461.478965177,31,540677,1745041,767,1
12,Manufacturing,1752682,1284283.9802130566,6,917621,437952,803,1
6,Hospitality,819666,582315.9201268579,2,525134,1633818,691,1
10,Hospitality,852946,613516.6195575845,5,137541,997609,417,0
4,Hospitality,636210,254327.1511209562,20,954480,285659,300,0
10,Agriculture,884909,393178.5871186407,37,1917,332762,810,1
4,Hospitality,1436012,813206.008108634,33,385925,816641,309,0
5,Retail,1680822,965566.6700404752,2,378892,55287,620,1
5,Agriculture,1177448,800798.7865856959,11,93070,1702631,849,1
7,Transport (Boda Boda),1498050,710726.053347367,49,607812,277645,535,1
2,Services,1195885,916608.8201869146,11,464008,1819377,846,1
1,Manufacturing,1729351,1142752.158319136,29,532295,1356378,528,1
14,Services,968027,369619.78570222965,21,539812,572244,678,1
14,Services,519097,391364.3923623503,25,14060,1836921,388,0
2,Retail,849735,446938.7723624196,40,39711,1241602,721,0
1,Manufacturing,238134,123680.21226446335,33,150168,1690592,524,0
7,Retail,531937,304149.0391411959,40,92263,971522,338,0
3,Transport (Boda Boda),1634021,1258059.013229507,7,345266,1909527,747,1
4,Transport (Boda Boda),363054,268411.1074263941,33,59379,1123629,530,0
11,Agriculture,118723,94841.43022016322,33,830460,1949492,710,1
7,Tech Startup,284480,90113.65351681726,22,845633,1130841,816,1
11,Services,1054057,496503.9309031216,38,448396,1253358,527,1
13,Services,222967,134221.43743119593,15,756892,1380823,560,1
13,Hospitality,1082958,546328.0403330758,45,282753,197550,591,1
10,Manufacturing,1455434,872554.0522476616,20,864266,438349,849,1
6,Hospitality,1999079,1023125.4960653384,26,76077,926906,695,1
10,Services,1275564,471395.0045329503,18,541656,720688,759,1
12,Manufacturing,843651,640647.6984279006,5,584567,365172,426,1
10,Hospitality,1096208,644728.3553608711,9,250869,791426,328,0
14,Tech Startup,1243975,895935.4455964233,11,669078,1133136,704,1
10,Hospitality,152717,60042.282876851816,23,805688,544592,670,1
8,Manufacturing,350388,171568.48252295784,9,57545,561411,612,0
5,Tech Startup,904377,422117.59019826096,25,763978,516725,685,1
7,Hospitality,1194737,645657.9643456027,27,298512,712143,478,1
6,Tech Startup,524471,308816.9042971739,6,806388,1317543,460,0
1,Manufacturing,974652,575331.3983875978,22,543385,1764331,768,1
1,Agriculture,1315302,1036156.3218000804,41,967344,807907,641,1
12,Retail,1745502,1393673.6001728023,49,151878,780880,440,1
14,Services,1947382,999775.1160262448,19,93501,314223,584,1
1,Tech Startup,1810380,885027.7503633668,16,617895,270178,317,1
1,Agriculture,608365,399713.8125400694,2,137717,1480491,412,0
2,Services,1866493,1082230.2804522347,4,186240,1675351,354,0
7,Retail,1379490,671335.2343573782,10,917458,1960637,461,1
12,Hospitality,1981952,619742.8691868659,28,812831,702465,690,1
13,Manufacturing,1178151,369406.8853319858,3,505815,1391398,742,1
13,Agriculture,1404775,494557.0666286898,47,462052,1432978,350,1
1,Hospitality,367739,154116.2488596711,34,597794,84911,387,0
14,Hospitality,750399,546176.5869852444,43,12175,955667,799,1
5,Agriculture,1982165,797805.8479614503,31,66358,1509119,306,0
10,Manufacturing,274726,183503.86538244245,21,708754,987583,680,1
3,Tech Startup,164931,102498.47806623118,18,401921,310910,822,0
10,Agriculture,1739294,851986.5636854392,23,207990,428387,560,1
5,Hospitality,1016261,698087.2231915586,9,392417,1030020,799,1
10,Services,1833333,1264778.6469292324,17,256713,1540077,358,1
14,Transport (Boda Boda),1576182,1103213.3285147755,17,683889,85954,508,1
14,Tech Startup,579655,376441.246506992,25,322918,1122328,577,1
11,Services,1382413,1095149.0859164698,29,207980,1355185,374,1
6,Hospitality,1034929,584559.8157144121,42,431459,238456,333,0
1,Transport (Boda Boda),248504,136362.20800678935,12,525910,623044,641,0
5,Hospitality,71226,53420.16389213657,6,29402,1102839,567,0
13,Agriculture,592212,229592.08782807516,45,929168,1396457,775,1
14,Agriculture,1579161,806979.7429180616,2,101371,612997,662,1
1,Retail,1218898,420725.17028706253,26,577564,631780,595,1
11,Retail,896031,678973.6178887755,39,228071,428165,397,0
7,Services,436366,339075.35007502674,22,645188,1581191,588,0
10,Services,1829955,1042930.4962384715,19,460514,999491,790,1
1,Hospitality,1190365,925649.436697542,43,66017,1276952,453,0
2,Manufacturing,676884,319619.1190405144,40,693264,891344,516,0
13,Retail,1798602,1077619.8504866099,25,275494,1122930,430,1
2,Hospitality,447236,134693.92985295528,30,544869,1711793,823,0
3,Hospitality,636036,219935.54779518954,49,428988,230553,796,1
12,Retail,1725277,1344138.115620721,19,202503,1241902,380,1
7,Transport (Boda Boda),1660821,1027410.0947887776,8,671256,236833,388,1
12,Hospitality,97454,63012.548528661566,41,909164,1614718,587,1
10,Transport (Boda Boda),1622575,1237414.894315362,23,612121,368420,385,1
10,Retail,1544102,489438.6267131446,7,987272,978626,797,1
11,Tech Startup,1818870,1268972.7044043317,31,971741,888003,701,1
11,Retail,1317897,820092.1486099097,14,337054,1937383,487,1
13,Transport (Boda Boda),1278593,949354.2518310858,43,134055,540457,482,1
7,Manufacturing,1802123,1056429.5155567578,49,306691,891052,696,1
2,Transport (Boda Boda),658112,488969.8939236068,42,861291,261837,749,1
7,Retail,143618,105566.33003595188,30,815862,1829468,440,0
2,Agriculture,461759,353843.5919931477,39,893741,590659,328,0
14,Hospitality,726544,363973.44684865663,44,275128,869471,739,1
12,Manufacturing,865038,431778.2610297579,30,181144,1909582,658,1
4,Agriculture,1212324,807572.5431866589,49,526338,159996,441,0
8,Services,576701,418921.8986957706,18,899005,1086580,731,1
1,Hospitality,805332,639321.8237854489,9,397710,261760,643,0
4,Retail,1570522,1217124.069269938,37,238506,803019,739,1
14,Transport (Boda Boda),932727,497797.10469177866,13,735457,229352,609,1
5,Retail,346898,192994.7095473024,10,302186,1160241,517,0
9,Hospitality,1751312,1363633.049402927,6,998916,1018452,353,1
7,Tech Startup,853032,651610.7928192895,49,288316,1106233,718,1
2,Hospitality,964189,769584.6976696549,3,684191,57906,419,0
13,Services,1537550,488068.4635587587,4,34701,1181876,566,1
9,Retail,262615,113659.77759221652,28,491036,377304,494,0
9,Hospitality,633089,462828.4555434834,9,832974,1927528,560,1
11,Transport (Boda Boda),332250,146421.07332594163,15,856101,1775690,475,1
10,Agriculture,1634737,556665.7239271103,48,658380,1926763,413,1
8,Transport (Boda Boda),422732,228399.2625032243,29,84082,178322,339,0
2,Agriculture,1402439,817433.9849271466,45,99616,960597,515,0
3,Retail,1088199,459919.4354573614,48,476840,155228,662,1
13,Retail,904056,691643.6809602161,36,872638,1167850,721,1
12,Retail,1746470,1293817.4016347167,45,74553,642632,330,1
7,Agriculture,1146825,417943.0928826169,43,470452,1528301,381,0
4,Retail,146209,104695.45301251175,29,615947,214134,523,0
13,Hospitality,997965,462274.1420875544,41,952336,570551,522,1
2,Tech Startup,950491,289458.9194853866,45,258722,182079,625,0
3,Tech Startup,1247165,385640.70292007446,41,435423,1242929,711,1
12,Retail,1300334,996074.1172751316,29,999701,981011,783,1
2,Services,158563,71429.74303289401,17,997899,376032,321,0
10,Manufacturing,1445402,1049661.526617522,14,430783,1213950,584,1
12,Agriculture,621763,387847.56562125013,12,742406,893804,332,1
6,Manufacturing,1100174,598848.4666801313,11,815673,277286,837,1
2,Agriculture,832461,444758.6957112963,4,669648,663474,696,1
9,Retail,233030,131315.21257012512,29,338076,198554,429,0
14,Services,334451,209786.26506376997,27,577218,822944,681,1
12,Agriculture,244695,126303.58207055973,21,432430,1311519,383,0
6,Retail,1430706,625372.4676457281,3,792058,712784,826,1
2,Retail,939484,375962.30480885936,49,238360,394855,823,1
2,Services,451374,241830.94632315577,27,755271,333707,729,1
9,Agriculture,1991856,688350.0686012576,8,729678,395114,498,1
3,Agriculture,1785724,652900.763977252,24,831291,1021129,826,1
9,Agriculture,1116413,400406.09358203685,17,552829,129083,820,1
6,Tech Startup,1920463,1048183.4690093499,22,791541,1088836,416,1
2,Agriculture,861047,444837.0067308985,13,715472,1725335,573,1
14,Transport (Boda Boda),1753951,873068.6477081775,47,717406,943093,843,1
11,Agriculture,697164,473046.43362245546,38,445864,342231,513,1
3,Services,1901175,709064.1995518839,12,387960,495485,762,1
6,Manufacturing,1689211,1100069.077678888,10,730023,72431,541,1
12,Manufacturing,667008,372761.3039153748,33,898792,226076,415,1
10,Manufacturing,1905077,878330.7045099523,38,678758,803753,421,1
2,Hospitality,671406,268612.8374437155,44,324912,1673911,616,0
3,Manufacturing,987290,311779.34246245405,6,642120,966838,522,1
9,Hospitality,347025,266376.7049771475,8,943793,1358507,617,1
4,Retail,426845,258723.12999172145,7,754122,1275811,507,0
4,Manufacturing,1342373,951271.1296789313,26,820094,148818,426,1
9,Tech Startup,1846491,1229384.0338077624,11,932817,1310533,311,1
7,Tech Startup,1702955,646735.2053610773,45,83186,1785826,655,1
13,Retail,1096956,762219.0578004927,32,639282,270971,848,1
8,Services,809352,442422.90124908084,28,341705,1893954,334,0
13,Tech Startup,1828476,931059.7859919374,15,491872,566998,631,1
1,Tech Startup,485757,379080.0391743297,24,860563,1539700,815,1
12,Tech Startup,1880971,1286324.48473043,24,376369,1477120,719,1
10,Retail,707220,352024.1192103103,36,567873,339102,717,1
4,Transport (Boda Boda),1455397,913268.4133541171,12,249474,1802300,829,1
8,Agriculture,280116,186713.14369343943,35,520985,69975,399,0
14,Retail,949065,397441.52783443994,14,704513,1393862,592,1
5,Hospitality,1244613,679731.609873679,47,622605,775495,530,1
9,Services,121459,72447.30873221743,6,101520,635560,327,0
2,Tech Startup,346818,217929.44826144096,1,152999,398619,600,0
7,Agriculture,777038,324286.7226713396,10,44738,607685,569,0
10,Manufacturing,222332,104162.89511116037,30,19816,1009744,432,0
4,Hospitality,1934538,1497896.6730637916,20,894235,266184,406,1
5,Hospitality,1251534,790847.1678363141,37,223536,1855808,455,0
6,Hospitality,1200267,684095.681130901,20,937841,1617053,810,1
5,Tech Startup,373299,121638.88882271238,1,170102,444274,497,0
5,Hospitality,1228052,422791.03115826,33,664560,900610,505,1
12,Agriculture,1712137,853824.734586237,24,759034,295546,425,1
2,Transport (Boda Boda),1638136,1014923.4892266663,39,644318,1417223,794,1
11,Services,350929,165402.22296639235,38,12115,1137638,683,0
14,Tech Startup,1363276,506826.72857580765,42,397686,1220439,640,1
1,Hospitality,1569302,998548.5246674635,32,800101,1733541,474,1
2,Tech Startup,68320,49126.01829437944,26,125354,662297,713,0
2,Tech Startup,48625,29608.911027392012,8,459054,1326647,644,0
14,Services,968163,617936.5145571282,19,865566,883487,352,1
5,Hospitality,178056,62906.564302259794,28,462785,1726273,460,0
9,Manufacturing,762488,560715.928420378,9,642804,572828,458,1
9,Agriculture,977386,722540.2051990395,38,553453,1690067,318,0
6,Agriculture,56321,38362.63053787688,41,245014,206498,664,0
11,Tech Startup,810144,291736.5224770831,7,616024,1150500,364,1
12,Manufacturing,1981977,987195.6813988186,21,208786,1658507,772,1
1,Hospitality,1048400,600569.0669493271,35,939947,129973,566,1
3,Manufacturing,1068173,663643.0502391132,2,494509,1962584,302,0
5,Agriculture,245049,190094.13478379574,2,764357,797419,520,0
10,Retail,155832,76372.92183331883,34,53551,454772,599,0
4,Agriculture,1404490,958482.4460016518,6,212781,1551681,663,1
11,Agriculture,1042378,322216.02153251023,23,850538,1075014,635,1
5,Tech Startup,369307,287073.41585575533,36,139978,873346,623,0
5,Tech Startup,790188,375980.4139922561,34,308557,187084,672,0
4,Tech Startup,768013,348405.2439164661,47,144539,474226,443,0
10,Services,1525949,1004189.402590104,49,698956,1854377,644,1
14,Agriculture,774950,496401.1404650817,10,947238,1171164,458,1
7,Retail,1550814,548117.314306126,42,729532,973945,335,1
4,Agriculture,652259,224063.6733492318,1,939179,1956039,661,1
11,Agriculture,632492,380004.9316739966,21,744149,1239083,325,1
9,Manufacturing,541998,328174.6369976299,42,518727,1825767,348,0
10,Agriculture,1196410,825837.2658464543,24,449042,479667,359,1
7,Hospitality,318185,224245.6476699408,19,343715,1295129,738,0
2,Transport (Boda Boda),671844,257992.86869407,35,511083,67633,731,0
5,Hospitality,1608878,667882.3974839472,7,285855,1190234,376,0
13,Hospitality,1519576,833310.2981588905,2,542015,948850,562,1
5,Hospitality,277681,139440.11992298398,39,651176,279104,758,1
7,Retail,1178423,429178.2918806993,19,824899,985129,401,1
10,Tech Startup,1099583,480606.1041089155,46,12323,947767,652,1
4,Hospitality,1347176,621972.0037822694,6,68008,427539,816,1
12,Services,1367098,847715.749229519,8,842981,215575,366,1
6,Transport (Boda Boda),1568075,724712.3249581963,3,598357,279189,429,1
7,Agriculture,271051,171011.38712393196,17,511778,830641,770,1
14,Services,335507,110741.18846948083,44,619961,504179,752,1
13,Agriculture,855036,551500.3109138694,16,232041,1449453,354,0
12,Tech Startup,1753264,789716.6620819307,8,170963,1240402,841,1
13,Transport (Boda Boda),879414,439406.20339276345,40,29301,1321300,547,1
12,Tech Startup,38752,27940.83711183754,21,668755,267029,705,1
2,Agriculture,1327079,899275.4571812417,33,377844,1699423,759,1
6,Manufacturing,554003,362524.24439185107,14,933667,1742128,413,0
13,Retail,1193057,585140.4878887809,2,817114,1277512,748,1
11,Hospitality,409954,204358.2804253354,23,18073,86035,765,0
7,Services,634661,482149.4145561176,43,534670,776331,400,0
4,Transport (Boda Boda),81929,45108.182034991434,49,667689,830965,728,0
3,Hospitality,211703,119874.83295420409,14,73861,757650,306,0
4,Agriculture,1633325,556081.2439948432,21,810658,843153,429,1
3,Services,1723377,1341927.2232855551,18,442111,537689,836,1
2,Manufacturing,880952,475429.72637416044,33,643235,1827758,409,0
6,Agriculture,1011469,391862.6257382311,3,690658,1018616,324,0
13,Retail,1510036,544943.2346139827,21,760801,1115923,836,1
4,Hospitality,1632972,938574.772644779,32,897151,1634735,391,1
13,Retail,1798206,994535.4673052521,18,707548,891531,746,1
6,Agriculture,1448127,590863.4625615395,2,234555,273894,766,1
3,Services,1635777,866798.5788960536,2,973181,1069658,552,1
8,Manufacturing,1224680,630916.6672758128,9,685154,1815524,628,1
12,Transport (Boda Boda),245469,106212.89097300847,7,97359,959711,559,0
4,Services,513158,212676.94881693926,37,984422,477387,520,1
4,Manufacturing,1953731,1100967.9231647875,39,843441,1507214,784,1
4,Hospitality,77022,40428.25661075795,35,358918,539626,391,0
6,Tech Startup,1692717,657525.0388332349,22,855684,1291597,482,1
2,Transport (Boda Boda),83037,44895.78715967118,38,204366,552420,770,0
10,Manufacturing,1058199,600692.0228965004,1,60428,1776676,541,0
13,Services,1256180,501753.6395078856,37,446636,706031,463,1
1,Agriculture,1571330,680268.9332795112,11,135870,1383140,607,0
7,Agriculture,1360020,740014.8555861794,4,680481,1398207,526,1
9,Retail,1359100,675796.3551022675,38,256553,1547108,696,1
1,Tech Startup,1121928,393880.60875481117,9,876968,678864,429,1
12,Services,1072207,458191.91182606516,10,614641,1512073,531,1
5,Tech Startup,1846075,1141983.358149423,34,508679,471818,499,1
1,Retail,724590,539598.8819588996,23,418647,630780,766,0
5,Transport (Boda Boda),574399,456151.8636936022,23,223332,775836,499,0
9,Retail,507510,334023.6413378459,45,552370,1712434,316,0
5,Retail,1216179,813324.7895492478,31,639341,1671219,735,1
3,Agriculture,1041318,720510.1442431803,43,92601,1128532,649,0
6,Transport (Boda Boda),932735,311865.9319194632,10,828965,471486,667,1
12,Agriculture,168702,116613.98587189273,40,652184,1789080,762,1
2,Services,766434,276447.53900779324,4,943693,1796536,468,0
9,Tech Startup,143257,77233.80936753155,10,559252,1053171,787,1
2,Agriculture,1390485,755044.1333288623,32,112990,1168095,587,0
12,Agriculture,1688321,614629.6693003646,15,911632,1550071,701,1
7,Transport (Boda Boda),1244648,605002.8709426566,14,841851,679720,713,1
4,Retail,1770740,1129716.4273358916,46,84080,1351367,421,0
14,Tech Startup,199830,147801.128163684,12,967912,356094,829,1
5,Transport (Boda Boda),703404,288769.6298670192,8,622893,891965,535,0
11,Manufacturing,1031967,590814.9972066584,43,189784,1666405,765,1
2,Hospitality,1656892,1064800.0002591307,27,179761,618926,762,1
3,Retail,1246134,897654.5135538544,13,370965,1102330,720,1
13,Transport (Boda Boda),1135488,629265.0503484365,19,868374,1805548,329,1
7,Retail,124555,76993.13479744263,37,685166,924631,661,0
10,Manufacturing,253103,178659.36067268086,44,615684,492882,748,1
4,Tech Startup,264839,105134.97412666511,42,384865,1863994,772,0
10,Tech Startup,709556,472944.368262816,39,997082,206570,365,1
9,Hospitality,1136271,786181.2373745033,36,440917,1731641,613,1
6,Retail,711211,478550.3346750312,14,145016,332017,736,0
9,Retail,690739,320133.9088688742,31,791542,497557,510,1
5,Agriculture,889049,430437.3098937915,4,631827,592601,835,1
6,Tech Startup,1183490,436603.01146298175,38,103892,1832581,704,1
10,Agriculture,1947205,746641.2679562969,45,932883,1388486,815,1
13,Tech Startup,1032237,683033.6825206648,37,643407,1515017,354,1
4,Manufacturing,506275,165249.16254310202,24,852129,1114605,458,0
12,Agriculture,1490523,687211.5943938491,46,317650,1963237,408,1
12,Manufacturing,1003581,793817.1110585665,31,770915,819727,318,1
13,Manufacturing,1336189,620120.4736262362,33,951441,1459854,412,1
11,Transport (Boda Boda),438267,292688.5330441335,11,933688,83787,417,1
13,Agriculture,622272,317747.0343097044,4,311955,80447,346,0
11,Manufacturing,1585070,800384.9717554479,14,641147,238490,436,1
10,Manufacturing,1596335,640877.7131663407,10,165937,1145426,553,1
6,Transport (Boda Boda),542220,351811.48382696754,45,477746,1121860,725,1
3,Retail,1985357,819497.1290786813,5,587100,1368719,348,1
5,Agriculture,789097,606560.4362029281,36,769605,1386921,559,1
14,Hospitality,1739014,1307663.1680547076,35,356992,1887847,612,1
4,Hospitality,1635685,537551.7237419512,46,505659,57531,487,1
9,Retail,1731646,1318322.0640227443,25,307747,990756,707,1
12,Retail,712841,314429.55825568776,28,365446,1754098,519,1
14,Hospitality,168087,132354.61614100938,16,519349,805678,504,0
6,Tech Startup,1844299,697497.1027397373,36,714423,539066,549,1
11,Manufacturing,386008,182566.430049617,33,554970,803158,369,0
2,Retail,135359,85532.65406552078,20,251351,520670,498,0
5,Tech Startup,70601,50404.46758306036,14,464184,1512436,613,0
5,Transport (Boda Boda),803441,299267.74135895626,23,427737,1221364,604,0
3,Agriculture,470930,370152.2349416899,12,606200,1760524,724,0
1,Retail,1600209,1056144.3725706353,42,932856,179350,588,1
